EmployeeID	DepartmentID	ShiftID	StartDate	EndDate	ModifiedDate
1	1	1	1996-07-31 00:00:00	1996-07-30 00:00:00	2000-06-28 00:00:00
2	2	1	1997-02-26 00:00:00	1997-02-25 00:00:00	2000-06-28 00:00:00
3	1	1	1997-12-12 00:00:00	1997-12-11 00:00:00	2000-06-28 00:00:00
4	1	1	1998-01-05 00:00:00	2000-06-30 00:00:00	2000-06-28 00:00:00
4	2	1	2000-07-01 00:00:00	2000-06-30 00:00:00	2000-06-28 00:00:00
5	3	1	1998-01-11 00:00:00	1998-01-10 00:00:00	2000-06-28 00:00:00
6	3	1	1998-01-20 00:00:00	1999-08-15 00:00:00	1999-08-13 00:00:00
7	2	1	1999-08-16 00:00:00	1999-08-15 00:00:00	2000-06-28 00:00:00
8	1	3	1998-01-26 00:00:00	1998-01-25 00:00:00	2000-06-28 00:00:00
9	3	1	1998-02-06 00:00:00	1998-02-05 00:00:00	2000-06-28 00:00:00
10	1	1	1998-02-06 00:00:00	1998-02-05 00:00:00	1999-08-13 00:00:00
