EmployeeID	RateChangeDate	Rate	PayFrequency	ModifiedDate	HoursPerDay	DaysPerWeek
1	1996-07-31 00:00:00	12.45	1	2004-07-31 00:00:00	7	5
2	1997-02-26 00:00:00	13.4615	2	2004-07-31 00:00:00	6	5
3	1997-12-12 00:00:00	43.2692	2	2004-07-31 00:00:00	7	6
4	1998-01-05 00:00:00	8.62	2	1997-12-22 00:00:00	6.5	6
4	2000-07-01 00:00:00	23.72	2	2000-06-16 00:00:00	6.5	6
4	2002-01-15 00:00:00	29.8462	2	2002-01-01 00:00:00	6.5	6
5	1998-01-11 00:00:00	25	2	2004-07-31 00:00:00	6	5
6	1998-01-20 00:00:00	24	2	1998-01-06 00:00:00	6.5	5
6	1999-08-16 00:00:00	28.75	2	1999-08-02 00:00:00	6.5	5
6	2002-06-01 00:00:00	37.5	2	2002-05-18 00:00:00	6.5	5
7	1998-01-26 00:00:00	25	2	2004-07-31 00:00:00	7	5
8	1998-02-06 00:00:00	13.45	1	2004-07-31 00:00:00	5	6
9	1998-02-06 00:00:00	32.6923	2	2004-07-31 00:00:00	7	6
10	1998-02-07 00:00:00	13.45	1	2004-07-31 00:00:00	5	6
