Car_Id,Car_Manufacturer_Code,Car_Year_of_Manufacture,Other_Car_Details,Model
1,1384080116,1577575047,5MRV12O1ZW9NRUE,GBZC
2,245257523,-1996517523,QHZ9TKTC2,I
3,-2145158974,-924281588,0,5CN1BAJ1ZCIDE1Q5G
4,-231492654,1314686893,6BYAQ89QA73X1PHD,RNHZP
5,-976563884,1956109305,QJHYQLZPTGLTET51,ORLBKYENPBALW33K
6,-122232984,-381023629,UNXZWIKOAID,3U1QX1QQ
7,-117416641,2056098459,832F5BDJ9GQZKWSOXVEY,IM5VO6NEDKO8G1YUN
8,-2037563231,,LV,R49CM72E5NIRQVLEFRI
9,2131424325,-329178074,F8U,N4Y
10,-710281914,323789252,WAF2MOLCJD9HRH7EWYF0,QIVCMT2V9X
11,1504162954,-969368842,WQF3F,
12,-2029645729,-305114746,N88ZWHCNY0OCWBG5J,W6ZXS90Z
13,114109383,-839758021,X6EEHXGT,L
14,839823057,-545039961,AZJ,TN2
15,-1889813223,-113540697,Y6IY4BEDZFU8D8LIP9R7,6CTGN5RM
16,-175891122,2021532293,69Q,CQRCLMISWZH9SK1D3Z
17,2112575102,2069073634,RAJ3N1NF0P6DCBU,4O1OK7VJ
18,1136662006,-1881971852,8YQK53PUA417C6SXR,HBF5JUL2IOE9
19,-459342379,-1932660673,D0U9BD,1WNKBESS3J66HGA174P
20,1975251911,1968775257,TCJF5CYX1L7I63NKO,3ALKCPXYZUEKB1M510V
21,965433207,-102221154,I0F,RMER8Y1EA0
22,-2125933731,346108601,TW9LNYTAZMCECR6F4S2,KO60RA37MGTT84
23,1274178587,303805642,ALLELLPG6FSDQQJ,VGT50787
24,-166526017,-1827961629,5JOZ4RM,GWUBDOINYKUV41
25,-1243094140,868119063,5SQWE8OQ,UX
26,973126734,817269390,5,90YT
27,-46328886,1310187208,8BU02,MM3LL503BHUJVFSUY
28,1645149140,-586380346,C3JUZNL8J9K435J,5
29,1026236844,-1354090887,,NA
30,818437665,1017443835,9TUT2YR2FKZABBJLQRN3,RFYA2
31,-1251980835,637381656,545OU,Y6DNP8OA2XIX
32,1735859273,-268785379,,IE9HZE5XB3S
33,1460558930,491829225,LUZ79AK77FA5RSJ3MX,I
34,620235963,1393380044,Y1JCDWVA3OP58YN,WC6MUYODAHW57
35,-1249734936,-1297024333,LKR10QCDBHH,KV0NX7RBHYYWWHM3LP
36,-61472199,754739316,YM1IQL122HMBD0,WSXWBNZS54SKU72D
37,973706764,1872657636,II9274BXIUW,240BKKU7NY1
