Part_Id,Part_name,Number_in_Stock,Other_Part_Details,Car_Id,Parent_Part_id_FK,Part_Level_Code,Part_Manufacturer_Code,Part_Type_Code,Supplier_Id,#Weight,Condition,Mileage_Donor_Vehicle
1,Jeanine25,1264229091,0O06JAKSDK2FQXGD9C,818,1,1331671711,1370546198,1286066794,818,1KIB,C9QSJVLRCGBXWJ,NZY
2,Valerie,-2114218946,,559,2,176602469,281502506,174152376,559,F2NYPJ9,Q7K2KO5IKPD,EB3WP63MF825TLGP
3,Roy5,1537581610,PSQSJIXLXH,2,3,-2146024298,-2132472968,-2140293549,2,UTALJOFFZ6G1J,SD,B
4,Ron506,-1830584027,DF,443,4,-278504080,-221395708,-303848246,443,IK2Q6LX3GGVSSY8,ZLMA4A51CJ8,NC
5,Roberta503,-1405505015,SNPOTE080X,274,5,-1020651865,-901441077,-1010887752,274,MHOT,X5C0,I26T9ZNM64T7XBI
6,Guy240,-1773113686,APMBLNS6YE7Y8M,468,6,-185639491,-163355009,-211120347,468,9ETVLDC2E1945K,EDI,1O8CUIINPC0RW
7,Roderick76,-1625607582,DZUWOO095SNLJJIHSSG9,470,7,-168615176,-148641801,-209153839,470,WZCNGRCUQRWH66JZDPY,MTKM6Q525ZSDWGP,3AW5T0PWX3ZS2Y
8,Donna73,-511203085,B9CT,31,8,-2034448774,-2018082041,-2043187169,31,59UL8L02FLNMD5W,ME5K67ICV8D7OJ,MO47JA6FZE0KJ3
9,Bridgette76,-2021914752,7G2LPG1S10D49M9GHJX,996,9,2122572923,2137293217,2131794285,996,40DKWK3,EU6DS1NXJZ,Z
10,Damian36,-712320377,9MGXE5RC81QH2LHK6K2,315,10,-858672989,-748696532,-800059205,315,PV5VU2WF7AWN5RFVQA,,QU
11,Lewis07,815624343,JRIH3OJUZCTQERUK,849,11,1500367750,1490839641,1424662271,849,439319WUDBED,KFF0ONP708Y3EA8R,JBRIHO4Q5D2GKB3NVKC0
12,Glen6,1364865910,,33,12,-2029479187,-2007734835,-2042229778,33,6PVCF47C,,U
13,Demond03,-1471469546,6JOPJZAV1O4PAWGQJ,527,13,71735504,134967509,61344356,527,8F399H,YELIDJP2X9YGM,RT
14,Tim75,-1396214810,4ZTQMXDW80,688,14,741822389,833728570,661150049,688,LIUL5Y0GS4LX,70YWG7OK,5S04327XRAW
15,Misti,-665249524,BRXK0DIIU7I67NUPA1X,82,15,-1836131409,-1785103746,-1833809662,82,I3SWBGFV2FL32FUU,,PV5GAMB
16,Eva997,-248071374,O7CG0BGXRCNRASP,454,16,-229688444,-202655295,-250773642,454,R0FGRTKSF7PFKBI9565M,H6W3ZHTWZ50KM2,Z7093ADU4
17,Elisabeth979,2096218872,7,989,17,2105782150,2113323876,2106511052,989,YS2II28I3I5MRCLIQ,VALPF9JMDVDCBAQPEE9,F0O1IB
18,Guillermo,291214677,AIX7PAMSM2R72UAQE3,763,18,1115603137,1164650893,1024191844,763,984V9,6MM3GF2HGKNDVUKX2VK2,1908M
19,Lorraine166,1794309530,HKOXLRHJQWEX,382,19,-545359306,-430573959,-586296871,382,GI32T,K,SQ9VHUGKA
20,Damion,-1063905311,I,958,20,2003964304,1957184870,1909931401,958,9P,7L4IL9GM5,9GYSR0SODT2
21,Jenny1,1382469377,REBHI2T7PD6J9TGJD,716,21,940228894,948858842,797179974,716,TT7CY9QBABPJTSYX,1V9NI9Z715S70,WX
22,Christa1,-1405201908,IQKLLCF,5,22,-2136654585,-2122294393,-2130018007,5,EFVD1,HQTMIU63M3E,CTP9CB
23,Kelly,879985546,QVW75TPX3WFXLCND,795,23,1241188291,1293434856,1186937244,795,JC1ZZ6P79GEXID6RHJW,BXG8ZXI0UY,DN7IUFVZN44KFK
24,Candy,2041902984,,458,24,-211530103,-187498822,-247638707,458,KJ7,9JLKVVEQ0LN0VF,JY0GBVTIW
25,Joel,1146764318,F88Q9C1AF,222,25,-1289174760,-1156636411,-1301022317,222,Q452HTT,3B6,B64
26,Mandi,1032487076,L5SY,719,26,945368308,952431842,804496509,719,RRO,9,QBX3X3AK96CSE5XRBH3S
27,Caroline,-154386395,ABYAI7CUBPK4F1536M1X,488,27,-86999039,-24599767,-111283796,488,XAR5K4F2EUGJKNYCG7IZ,80X1QT6VPZLIFK2X9,R8V0GJ5BNI8RXX
28,Andrea61,1656241336,YZMK6UEXBX4GWA0P,879,28,1643381732,1645273408,1593729859,879,D9U1MPFMK5RP5U6RR9,77CEWNXLS5T6UX,6HHH
29,Billy,154445817,GC2EW0P7L99OEIQ1TCB,736,29,1027782699,1024823748,878836541,736,448VOLHUVHD,50IOI4,YPU4IHNK5IT3BQZ
30,Nathaniel697,-274116084,QBCYW0SFOJQ4E4,680,30,712039883,804572488,621836226,680,9OVJ0X4X,8UBM1HFVR61VQ2SU494,22HJ59LN41G84KU0MJC
31,Abel,28534554,PUT1ZWDLL49XEDF3X,219,31,-1304347566,-1164429884,-1304841343,219,ZGUOOTESRLPX,002I5OT9JK9Q64YI3,ERIZWK65O5F7XQ4E0X3P
32,Claude747,1631890308,DC4Z4H,897,32,1723686645,1703657831,1660310113,897,V04D5F5VK56LI1AA6UM,LF5XEM5Y6MC5EEE,6ZG0EFKNTHSEYOAKIN
33,Jayson19,-1935547085,7,839,33,1460144439,1464200189,1382176966,839,04OD70R214VON6,,2FZYM8BE
34,Karen,666954585,J1I4AAC06ZACFCQ,645,34,550684116,639217802,485862854,645,VFNR,7SSGCO5B7XAPL4ARUNP0,GZOFNW8R1YH
35,Sonya2,174791473,TM3E,220,35,-1300157119,-1163266738,-1304827016,220,SJEAO3,MFD6I6XE6UC63QPAT8,LHVONTZ2TTHAIMO71
36,Deanna1,2127849889,8FSF0R1QQB5RNUJ2ZZM,482,36,-106877318,-62726946,-135370458,482,S4ILR2L2QCQ64N3TG,ZL7OU,S30
37,Adrian,293090150,C83NCYZE7AVTT6ALPP9I,720,37,946365274,955980526,806293454,720,IYC8FVJ2XJGPDP3,KI1EJQOZXLCFAUH,7USCQ1FJJK5FGY3AZ
38,Gloria83,-2006258667,AGN5LRI6PTNGDP,101,38,-1798551277,-1707920322,-1763628758,101,ZXI,X12XIHDKG1EY0IFR,BCLNHEX071Q6
39,Tasha827,-1735743412,C532RMIFGBYGKXCAP4Q2,26,39,-2056304530,-2061876914,-2051632492,26,4L141IOGN,XXOVZM4N76,D4GA1VA2XMAAX535Q
40,Myron73,2088307382,FIR6,906,40,1745668229,1733123666,1682596530,906,PPY055TJPN1O42L0Y02A,DVIE9RN6MWQ35HYHB,QVCROJKCEFQUESCERA0
41,Julie792,-2059068670,8IH7DFG99K,477,41,-114878028,-121386685,-174424059,477,5AX5XW,YF5LX,2FOCEP
42,Karen246,1687033303,6QOR17TN,326,42,-813221439,-694560929,-763660669,326,6W62FWUQRCKY0F8V,XTCYEXABB86KI,DK9UVGX0ATMGWP
43,Ethan,-1400469210,X8CJXCNN8WMBWA,469,43,-168861021,-159355920,-209694904,469,FGYJ0KNDCCJ,O8U94L6UJE04TX8QZSX5,GVC38I
44,Daphne3,-1183646369,0Y8YIZAOROJD,810,44,1308908037,1338568103,1251857999,810,0V88MCSHZ978,GEPROMFRXAD,J
