Customer_Id,Agreed_Price,Date_Sold,Other_Details,Car_Sold_Id,Car_for_sale_Id
727,-142329275,1991-11-08 16:11:50.360000000,0O06JAKSDK2FQXGD9C,1,727
818,613153664,1999-09-10 22:01:23.230000000,,2,818
769,568023367,2017-12-22 14:40:34.890000000,PSQSJIXLXH,3,769
559,-868389596,2006-08-24 18:56:11.790000000,DF,4,559
207,1139825421,2000-04-02 23:49:35.160000000,SNPOTE080X,5,207
4,190996922,1996-10-14 11:27:15.440000000,APMBLNS6YE7Y8M,6,4
907,-149317675,2009-04-04 21:01:35.740000000,DZUWOO095SNLJJIHSSG9,7,907
443,-1155508597,1957-08-07 20:31:59.210000000,B9CT,8,443
978,-1119200523,1996-03-12 11:08:05.210000000,7G2LPG1S10D49M9GHJX,9,978
274,654187162,1954-02-10 14:30:49.550000000,9MGXE5RC81QH2LHK6K2,10,274
292,530287035,2007-06-29 18:50:25.430000000,JRIH3OJUZCTQERUK,11,292
468,-1001930417,1971-12-03 23:22:04.160000000,,12,468
633,1261003876,2002-12-17 01:31:36.210000000,6JOPJZAV1O4PAWGQJ,13,633
470,-1697367257,1967-04-28 19:25:58.180000000,4ZTQMXDW80,14,470
983,-72086632,1968-09-17 03:13:53.380000000,BRXK0DIIU7I67NUPA1X,15,983
31,1602751855,2007-07-17 07:39:31.130000000,O7CG0BGXRCNRASP,16,31
863,1232664230,2015-02-20 12:26:46.850000000,7,17,863
996,1688842940,1994-09-14 22:56:03.860000000,AIX7PAMSM2R72UAQE3,18,996
678,15442941,1974-11-22 15:05:50.200000000,HKOXLRHJQWEX,19,678
315,696144634,1991-02-23 16:14:58.800000000,I,20,315
817,1881338535,1978-01-25 04:36:17.010000000,REBHI2T7PD6J9TGJD,21,817
849,176526226,1983-07-14 08:58:42.640000000,IQKLLCF,22,849
992,-1895238556,1994-12-12 07:11:22.480000000,QVW75TPX3WFXLCND,23,992
33,-1311283235,1978-03-24 09:23:53.120000000,,24,33
700,-936968678,1998-03-22 21:36:28.530000000,F88Q9C1AF,25,700
527,782993786,2013-01-13 10:40:00.800000000,L5SY,26,527
935,-741170134,1995-11-29 04:24:21.150000000,ABYAI7CUBPK4F1536M1X,27,935
688,1226251409,1974-02-03 17:07:11.470000000,YZMK6UEXBX4GWA0P,28,688
547,2034753277,1973-06-12 06:28:28.490000000,GC2EW0P7L99OEIQ1TCB,29,547
82,-26216548,1961-10-10 08:43:15.280000000,QBCYW0SFOJQ4E4,30,82
188,2145668152,1960-08-16 13:01:49.770000000,PUT1ZWDLL49XEDF3X,31,188
454,-1147694152,1994-02-14 02:29:23.360000000,DC4Z4H,32,454
298,1936463293,2017-06-03 13:33:30.980000000,7,33,298
989,2001421370,1979-06-02 16:28:08.830000000,J1I4AAC06ZACFCQ,34,989
643,1954890821,1961-12-13 19:35:38.930000000,TM3E,35,643
763,-418084422,2001-11-09 13:32:04.980000000,8FSF0R1QQB5RNUJ2ZZM,36,763
16,1476896055,2008-02-22 16:52:55.940000000,C83NCYZE7AVTT6ALPP9I,37,16
382,-675873356,1954-03-09 16:27:52.500000000,AGN5LRI6PTNGDP,38,382
344,290078895,1985-09-12 02:05:54.210000000,C532RMIFGBYGKXCAP4Q2,39,344
958,322839812,1969-02-27 11:25:30.730000000,FIR6,40,958
506,1408463422,1995-06-27 21:27:52.010000000,8IH7DFG99K,41,506
716,566230985,2001-02-26 15:56:45.700000000,6QOR17TN,42,716
119,-2067949596,1996-03-09 01:28:46.060000000,X8CJXCNN8WMBWA,43,119
10,-31200787,2012-05-12 13:28:04.640000000,0Y8YIZAOROJD,44,10
908,1726982607,1980-01-17 15:09:01.200000000,AQ8P3UJZ5XA1ST1DXA9G,45,908
795,-1609412088,1981-07-18 20:56:28.710000000,R3YV5BNKKUDYLC,46,795
338,-696306981,2015-10-02 21:09:51.420000000,NX81QFU0YX,47,338
458,1455706274,1999-01-23 09:56:54.060000000,69BTE9,48,458
147,-1970118988,1988-03-30 03:50:56.510000000,Q,49,147
222,1899585089,1965-09-23 05:56:44.430000000,MATYJWEL2,50,222
411,1331213723,1984-09-24 10:12:13.090000000,27,51,411
719,-1657727075,1966-08-17 13:12:26.060000000,JP028PVW3ZY,52,719
620,1859674114,1957-09-29 22:49:29.200000000,5E9QG41UTUD,53,620
488,-146070245,2017-06-29 16:19:37.070000000,9IU08X2UIQPLTC17VM,54,488
195,985171889,2003-11-25 22:05:18,BVJDI4UMS,55,195
879,1533128900,1961-04-28 07:13:07.710000000,CMOCWSPVUN5W3XFOOW42,56,879
826,-219719134,1957-09-30 14:50:00.740000000,Z6B,57,826
736,-734780585,1992-10-01 05:16:41.760000000,8P4BWEBAU5319XJCB0Y,58,736
859,-946442595,1961-06-04 21:19:43.260000000,ERLYUGXHP6CG,59,859
680,515899740,2006-03-20 13:09:34.370000000,AN2KJY9UM9RCN,60,680
625,1534908867,1953-11-17 07:02:54.280000000,ZKPIY7WNH46H,61,625
219,-1911551990,1988-03-02 03:54:24.260000000,GTKNSNNYAGR,62,219
896,196898438,2003-02-25 14:03:30.730000000,2PKR,63,896
897,-1847853666,1987-06-04 02:24:49.930000000,TL71YX0NE8,64,897
87,2039557400,2012-06-26 01:28:59.790000000,N5YD2JT02LY,65,87
839,1884805854,1966-05-16 16:21:02.070000000,ZGP4YQ,66,839
171,1708747881,1973-07-01 09:48:33.190000000,IC,67,171
645,892122351,1976-07-17 09:03:27.380000000,ZA,68,645
827,721989580,1958-05-16 23:50:19.240000000,AEIWK0EE,69,827
220,229621273,1985-11-07 13:41:48.400000000,B4HDPJVJPVUW7L8S,70,220
1000,-1981198963,2018-05-24 14:46:35.190000000,XHP3R5NTR5A3HLKAR4K,71,1000
482,733930743,2013-12-14 19:58:54.340000000,K0DMT63,72,482
653,479989889,1962-01-03 20:50:09.640000000,O2T93I2WP3K,73,653
720,-1400648514,1958-09-26 03:40:19.470000000,,74,720
810,-2113087342,2014-08-28 18:47:06.800000000,KXD,75,810
101,-1569706013,1995-11-28 12:39:31.310000000,F7AAMFGN,76,101
730,-1371744447,2006-05-06 07:29:56.580000000,HW42AK184PC1ZYINK,77,730
52,941703679,2001-07-31 17:43:17.850000000,KMS02Z,78,52
126,-56163945,2017-03-06 18:14:51.930000000,DYT52MCLX16SMTZWLF8,79,126
906,-1081243361,1969-09-05 00:39:59.810000000,KF8RN1RV1DHT40XM832,80,906
190,-685946776,2016-04-12 13:30:09.380000000,ZF2XCVYVLP6KUXHXP2I,81,190
477,1648799995,2015-11-05 18:27:27.100000000,UHKKKDNMVCOID624DBFR,82,477
541,-1928971657,2004-11-05 13:16:14.970000000,WAB7WZ7JZX6L17HUIDY,83,541
326,-1012639720,1960-09-20 00:31:44.050000000,BZ81N7OUCJDMQXY7,84,326
672,1205725411,1996-01-15 22:31:02.190000000,CNDF3WFIXBYKAVY,85,672
469,1191445564,2012-12-29 23:49:23.720000000,JRW1AJPBC6F,86,469
834,976261133,1989-05-18 03:39:54.160000000,JU39AL5PL,87,834
75,-2122962425,2018-12-04 21:13:53.920000000,83TI,88,75
794,1695871639,1994-07-07 18:22:50.830000000,VP92O,89,794
765,1609265787,1953-08-18 12:22:31.220000000,67615XSX22WG,90,765
938,-1692035560,1997-02-09 22:42:04.230000000,Y3,91,938
