Customer_Preference_Id,Car_Feature_Id,Customer_Id,Customer_preference_Detail
1,727,727,X75TAX05LDYC7HG90SYM
2,818,818,X6HSBW9BKCXRLJ4EE
3,769,769,NZZRPV
4,559,559,SP0JO7E1VZ0N0Y0RU01
5,207,207,KMXCUM4BN65HMQI69SV5
6,4,4,QPJ3RDPM85
7,907,907,OTH6R
8,443,443,O223EPU
9,978,978,0AGUH15WJ
10,274,274,WE8
11,292,292,8FOE0EST8BFL3S2EB0
12,468,468,KQ28SR
13,633,633,LRANADFLTNF0OFQ714E
14,470,470,YC
15,983,983,4IV
16,31,31,OD66VN
17,863,863,T
18,996,996,IL116IZFZBC9TI04DV58
19,678,678,6
20,315,315,EOQ7NGJCQLPOG2DPFD
21,817,817,46JFVU52ISSL
22,849,849,CGNDFABYFZLN3TK105P
23,992,992,J1X
24,33,33,9V
25,700,700,IE0KY0NCZFZ95
26,527,527,FO7YRR0K1IM3RIBJS3K
27,935,935,S
28,688,688,FEMNGHKL0
29,547,547,JR
30,82,82,CPWH4CXCIXV941GNVP
31,188,188,9V9SB4AJ0GHQJZEY
32,454,454,VMG
33,298,298,V7WHRDCG
34,989,989,X47CI82WLDTSXW07B9
35,643,643,2NS98M
36,763,763,ODBJQY3WIDJ7
37,16,16,6WWA8MSXAV
38,382,382,G4MDG5UYP3JPL1N
39,344,344,P1
40,958,958,NO4SI6QI1MTH
41,506,506,I23MBPFDJKHE
42,716,716,7B8KQ2V
43,119,119,8L
44,10,10,B47QMSBWL56IY
45,908,908,K0M043MEWZF9GWRLHAGR
46,795,795,7IOQQ9LSG0SAJ6
47,338,338,8V3IPX87BDCF50OW27R
48,458,458,IXADT1LFZMZXP
49,147,147,CM6Y1C
50,222,222,
51,411,411,DDETGSS3Q3SSKA
52,719,719,QOOBT8OE
53,620,620,PGN2Q45EE7KX
54,488,488,
55,195,195,KTMVWW4X420GAC052PZZ
56,879,879,Z4QDMXDECQOQO3H6CR
57,826,826,9SBL19TSD8
58,736,736,UY0WKOVIAZQJSBCPM
59,859,859,IZPXHPBOJP3S405
