Vehicle_Category_Code,Vehicle_Category_Description
-2147423082,Shell fish
-2135298313,Confections
-2132346064,Meat
-2118488476,Shell fish
-2115771782,Snails
-2113227861,Snails
-2097107106,Confections
-2096940730,Shell fish
-2092468346,Shell fish
-2088259109,Seafood
-2082444118,Confections
-2082062017,Seafood
-2078760829,Grain
-2077634219,Shell fish
-2072923072,Meat
-2071401393,Poultry
-2069110474,Grain
-2064894115,Dairy
-2042591974,Cereals
-2037742758,Snails
-2036578192,Dairy
-2036049497,Snails
-2027810207,Produce
-2023447293,Confections
-2023404281,Meat
-2018423102,Confections
-2017466905,Beverages
-2015644028,Confections
-2003949280,Poultry
-1998588946,Meat
-1992679601,Seafood
-1988089464,Dairy
-1987417061,Poultry
-1979257698,Snails
-1974885317,Shell fish
-1974386362,Beverages
-1971225623,Poultry
-1970164649,Shell fish
-1968226829,Meat
-1961125196,Snails
-1955722329,Snails
-1939566759,Seafood
-1937362208,Produce
-1937043668,Produce
-1936529374,Produce
-1929131781,Dairy
-1926309763,Dairy
-1924301728,Grain
-1917838263,Snails
-1917826141,Seafood
-1911107510,Seafood
-1909533812,Confections
-1908485713,Beverages
-1903058632,Meat
-1902911874,Produce
-1899411860,Cereals
-1899323659,Meat
-1898645594,Seafood
-1890742912,Snails
-1885117688,Grain
-1880939365,Confections
-1877331485,Seafood
-1872669703,Poultry
-1872297012,Produce
-1870082415,Cereals
-1865491461,Grain
-1862361634,Meat
-1859668872,Cereals
-1858725549,Dairy
-1851226789,Poultry
-1847779313,Produce
-1846526895,Beverages
-1842741171,Meat
-1840935575,Dairy
-1836201333,Meat
-1833699052,Dairy
-1833405734,Cereals
-1830107463,Snails
-1829435688,Snails
-1827693458,Cereals
-1825531636,Poultry
-1823637094,Cereals
-1818213419,Seafood
-1812454390,Beverages
-1811990333,Confections
-1810200785,Meat
-1797416965,Shell fish
-1796319488,Snails
-1790749242,Beverages
-1788335050,Poultry
-1786606729,Poultry
-1782547067,Cereals
-1780265159,Dairy
-1779415843,Snails
-1776442121,Beverages
-1775040616,Shell fish
-1774931734,Cereals
-1774020585,Grain
-1773270419,Poultry
-1772419685,
-1768618914,Shell fish
-1757361345,Beverages
-1754310792,Meat
-1749693449,Seafood
-1747415692,Cereals
-1740051215,Confections
-1738079001,Produce
-1733166777,Confections
-1731726740,Beverages
-1720143198,Confections
-1701102510,Grain
-1700248905,Cereals
-1697693729,Beverages
-1696329391,Dairy
-1696125437,Poultry
-1693165149,Beverages
-1688425622,Poultry
-1687095021,Produce
-1674030265,Seafood
-1672335289,Poultry
-1671688847,Produce
-1666650399,Beverages
-1656136033,Produce
-1650025382,Shell fish
-1645169175,Poultry
-1640517825,Shell fish
-1637496940,Snails
-1633043535,Beverages
-1632852697,Cereals
-1632638048,Dairy
-1626926219,Cereals
-1622055270,Produce
-1619917149,Produce
-1617480436,Beverages
-1611869027,Meat
