Car_for_sale_Id,Manufacturer_Shortname,Model_Code,Other_Car_Details,Vehicle_Category_Code,Current_Mileage,Engine_Size,License_Number,Asking_Price,Date_Acquired,Registration_year
1,Ross002,979311172,JXGUNHU3S5MHZ6XWD,801596149,27,F037A,77361,0EJ31,1971-08-16 10:03:20.240000000,1727829544
2,Kristina158,1370546198,GGHQ0FX,1230002668,24,CGW,85207,CPMUI,1972-11-06 14:13:04.430000000,1745284849
3,Aaron387,1201460537,GQ9G5LRXEFUADAIC41,992120667,33,YKK9T68PMU791,09458,L,1960-07-04 07:22:37.190000000,13917048
4,Jeremiah1,281502506,WOLZM5LKX,2039291,60,VOBKN,09443,20HRE4,2001-12-06 05:39:46.360000000,-1346101516
5,Donna772,-1204383236,SX1WJ13,-1400022917,53,YTTZJXWT3,55984,LQW5EK,1989-08-18 03:38:40.030000000,2057980078
6,Johnathan945,-2123418059,CZ0,-2118488476,37,C2GM6XPV,22835,9AHMVOMK9574W7POXL,2013-01-06 15:13:37.960000000,660252463
7,Johnnie709,1736141035,2RI22,1651465752,36,ZHS6JH6YDCLIS,59636,2N7E8,1964-10-19 06:24:21.660000000,658647673
8,Allison051,-221395708,6X4LYV1FVRMBK1T,-493937386,58,CE5Q,51027,X1FNMYM6,2009-07-15 13:59:04.010000000,-143090942
9,Yvonne614,2053500697,LITET9EIS1I5LTH,2006332760,34,QWAEM1I5,50953,FCCW1X1HRBJ97IW2,2008-01-31 03:39:26.410000000,-1839775357
10,Enrique779,-901441077,2CDZJ6Y5V,-1143063644,43,FJXY,72341,,2018-10-18 17:27:38.330000000,1778519098
11,Scott584,-836202818,5C71FZXT5Z9OFWIMTW,-1080801469,47,6O26MAHDYIH,30138,NHH2W81XM,1990-09-01 06:57:00.990000000,-823211763
12,Allyson780,-163355009,VU1A287NTQFJN,-381028534,26,2K9471745H,37360,WN7LYORDB1JT15G2,1972-10-22 04:53:18.440000000,-1989589261
13,Kendall860,585210281,P32ARMJ8SO,396542173,59,2551CE,06388,BQJJLM,1993-11-14 03:47:14.440000000,239232924
14,Melody508,-148641801,AEWHHWD2S0,-377633326,19,UEM2L398I,72893,YPQDF4V4AUK4,1960-09-30 17:43:42.950000000,-276939441
15,Arnold076,2072235762,425S7B32QFL6PTG,2033251512,45,3DXSX5YXVN7,97815,YBJQIQXZUFBMTKP72O,1977-03-14 08:10:10.550000000,1454656056
16,Jessie431,-2018082041,19TM1CSRUA6CT,-1992679601,27,QUAPZZ0H94,40800,0SM9XEX75FI7KB,1998-06-13 19:38:35.690000000,66425388
17,Yesenia529,1571848318,HVHFY04YE84PY1P86N0,1424340642,54,,52258,,1981-10-19 06:59:23.540000000,898030576
18,Priscilla335,2137293217,BSZE8R9EY,2125215074,47,N2VZZ5VZIR1S,58004,Z6T0V,1959-02-10 18:03:55.060000000,794839218
19,Harold409,794743019,5,617107423,51,W5Z63GQCC,39407,F49FQM,2005-11-14 22:16:07.850000000,-499602236
20,Vickie398,-748696532,8OYQ,-983883571,29,SSV4A70,73673,5W8694BB1,2005-03-07 05:36:57.450000000,1081215102
21,Morgan638,1368483207,AUF73V,1228899896,52,YEJ4UAYYQS8ZZTH63,62212,BLJSJB8Q,1969-07-13 12:20:54.100000000,1427393213
22,Adrian653,1490839641,HBER2L3I,1371171140,64,0B5,00673,UUQ18OGADH0INB,2016-01-15 23:32:40.920000000,758710948
23,Rita974,2119645235,9QPW377RQ0H3DG,2080436068,21,82BF26,92383,0JA1B7O,2002-12-28 19:21:45.120000000,-1584890101
24,Joan691,-2007734835,3ZJWTKC8WEWWDIC,-1987417061,51,1KRHK2E0SAP85QY4CO,39217,XKIEBXVT0OGS,1959-06-08 06:27:44.720000000,614093167
25,Curtis38,871850465,SMFYX9TK3NOH2,700376759,47,,83392,FVZHT,1953-11-19 21:44:14.240000000,-595272086
26,Nancy367,134967509,H4U4N327PQXH,-138305131,28,P1G6P0A6HSF7RU,97808,XT1,2005-04-22 05:27:16.320000000,950374782
27,Josh709,1844398121,I7AU,1790078213,57,7HHEQ3,74510,NAVR007F36GSGQ94DI,1970-10-07 22:41:53.910000000,1473694997
28,Sonya14,833728570,DNOGXIBU5ZT5WU5,664766836,51,AJB30Y9YZQ3VE04KS,06681,ZT7JXL,1964-10-07 19:07:46.890000000,725655845
29,Nora591,223426860,WR18U9ALW,-42158501,32,R8I0VHGB1,59014,BJHDQK,1979-06-24 01:24:24.380000000,-1433862997
30,Melinda482,-1785103746,1FGBDS,-1823637094,59,MU988,85552,GU,1958-06-06 03:35:14.830000000,1811257851
31,Craig981,-1285061181,F3E,-1447845646,26,QWVM0BWJS,60807,G5USS8CL9ME88PFF51,1996-09-03 13:55:06.970000000,1405139475
32,Steve764,-202655295,17CTTX,-442384140,50,4WGN3X,68370,GRX6CPOYPFVWZW,2001-09-23 11:48:34.190000000,-1462347930
33,Sammy416,-828075011,EJU3C9MG8LE4D3J8GVD,-1060606020,37,UYVN9O,91890,N8NV7LVXOY92BRXBE,1954-01-22 23:37:21.800000000,718933811
34,Maribel875,2113323876,M0C,2075818613,56,MOW,99284,6EC,2012-08-16 17:47:14.410000000,-1423026891
35,Cristina353,625312065,QQUUKPF0B77,464457561,47,B5HUNU97O5,58342,YI249M6DQF,1954-05-20 22:23:30.480000000,-574498270
36,Jordan77,1164650893,UX37PXK70Z1LH,962196127,41,FBZ86DKVD,01264,217R9UPLU982N,1996-12-03 09:41:46.290000000,172919145
37,Natasha551,-2100294208,,-2071401393,22,P4F9DW,50811,6S4H2THT594S2,1979-09-07 13:23:15.020000000,-449047313
38,Bethany940,-430573959,XG,-718916543,27,720CEE7N7A,17911,8QA8UQ9QQJ4ZGT,2014-08-14 16:28:07.420000000,1101996651
39,Alison591,-610819092,GD7EDLERWJ6ET5V6DJS,-852774308,49,LEV8JBIJN1HF2TJ,69546,8QGFR2U2WN,1974-12-05 08:36:18.140000000,-1819411736
40,Tammy687,1957184870,4OF5FRP8DKTIJ8QT5,1901384472,42,L02,68654,U8VYMGSE,2005-01-29 01:58:00,-1522101510
41,Jonathan940,44210369,KISY110M6VQ,-217995033,57,AYSZL561,12617,3Z08W4G2KC3CO,2012-03-13 20:14:03.920000000,321619376
42,Esteban612,948858842,MC5BYRX1YLV6DB,748782527,21,S,63683,XJOCB8DODK8W0U,1965-01-25 00:25:28.980000000,-1118211128
43,Johnnie43,-1652657841,OUKE1,-1674030265,41,Z3B9ZSHK3,28706,XN72,2004-07-21 18:08:54.790000000,955708931
44,Ronald655,-2115733450,WY9C6NE4SLTH3YGC8AYV,-2088259109,35,T9FPM,34618,E9P7JMMSIKK,2006-07-27 09:55:25.720000000,677522669
45,Quentin959,1739220708,IYMMKPACRLGO9PEVZR,1652898191,22,I,66580,5XYFY4G6YELG003,1966-11-29 23:54:32.050000000,1268334036
46,Earl996,1293434856,JX502PAC9BMAF5WEZM,1147236912,32,LM,30689,AMOW97W,2007-03-26 04:08:56.900000000,88401959
47,Marvin353,-645194816,MY4S0,-901792114,46,5PYNLVM,59005,TGTOML,2015-06-02 00:23:40.350000000,1657252538
48,Duane735,-187498822,,-420509966,51,4HMVGICQKJ14,57562,TZYQ3VCYJQWIZN97I,2003-07-15 08:53:31.430000000,-1508772236
49,Cynthia709,-1529555089,TT82H8IVC7CYK,-1581982711,55,YTGPC9Z7O5B5,56101,ZIVVOZY0A,1964-11-05 21:10:56.010000000,1674373441
50,Ann438,-1156636411,A,-1320496269,29,T,30444,HARKD7SG,2004-04-02 12:46:43.790000000,-1267141717
51,Meredith271,-314829445,005B0ICBE8955,-606496583,59,DMDXU6Y86DY79,37395,A0RXO45DPW0J8A5M3BXB,1974-07-17 05:31:36.810000000,85245046
52,Theresa582,952431842,441PVG47UDRK,778907053,19,XBKI86VHY8LN6GCB,23984,,2008-09-15 19:36:47.240000000,1103487536
53,Thomas580,540583809,P112,340454556,20,JOZCY6,53975,3KRG,2016-04-28 09:22:02.110000000,-1778611644
54,Tabatha344,-24599767,,-284337368,64,980LABD2P0QTRNONHW,60373,ZC5SUT68J7L6RJM,2004-12-08 05:36:22.800000000,-184012844
55,Ben90,-1233317438,CL3,-1429675396,34,4B6ZIWV,52875,3929ZMX9WU51IX6,1962-02-01 18:44:00.260000000,-1025448343
56,Bill616,1645273408,VOCA,1527300446,28,FIAUZ5,51596,7V60K45Q22MEI46RD,1974-07-31 10:30:39.330000000,1625262421
57,Vanessa593,1423806321,XO8ZDPX27XV,1277009665,20,8Z6A7NUIY6P,55123,ZAO79CFVV,1988-11-08 18:51:19.310000000,-1411159031
58,Carlton06,1024823748,T8T6RKFPN9C6FSKBD8CC,837489683,47,J1U1HGA1R,87144,N5QL1FZWDLOY3C7X0IRR,1954-01-28 00:54:52.460000000,904068773
59,Lamont150,1540376222,Z6JLEDVV,1404564099,30,8HOFMYKF5RNBFPG7P0A,06437,DOZXWH,2001-01-17 07:55:32.120000000,661890824
60,Lynette63,804572488,U46SICA,619466532,43,8TT,65494,LTLP952WC0D35AERU16C,2003-04-27 22:11:23.720000000,-1343671081
61,,543746618,43WKTNB2,368453203,46,BMKGSEP4O4RPL,45803,BCW34BAGQO5XZAJZZPXA,1995-04-02 16:31:44.040000000,-2126479422
62,Scottie296,-1164429884,K4MPYKIFT,-1325591843,50,0WYI,15611,LZ5OLEYW5WP5ZA,1953-01-12 11:16:34.760000000,-1691291050
