Car_Manufacturer_Code,Manufacturer_name,Manufacturer_Details
-2145982268,Sonja,19
-2145158974,Hope804,HHX
-2140256541,Roger3,WQDG5IMO91Z8C25TJJQ4
-2136007214,Matt,T
-2125933731,Lea80,7MGI0SPY44
-2118037586,Susana0,J5UZ5C16WHSED82AD3L
-2115012888,Hannah699,J980UPSI
-2112937860,Todd21,8JQNH4VWLNTYIPTP
-2108689573,Dorothy038,Z8IADY
-2105199431,Rosa675,XTMDNW
-2096817150,Sandra21,3XC
-2092532604,Milton3,3QXD6KS6DES5EH
-2092087265,Jonathon,8SRA0UEM188W59M61YL
-2089746926,Jocelyn7,
-2088078949,Kelly214,LO9HKN1SSYGL2UM4J2GG
-2077452022,Linda1,YZYSI
-2077208519,Darcy923,8ZYIE75MJVZNFHSY
-2073431998,Nick733,A2CZV1N69
-2072131291,Cheryl,8CHC3BYMAQ97JFD4SVU0
-2071715708,Jerrod,L1
-2067846043,,0HQX7YFXDUBRMAPCZ49A
-2065015233,Nathaniel64,5
-2064146170,Guillermo88,LO
-2063636031,Christine16,3J4
-2060407498,Karrie,819UGR9
-2059429161,,4Y9V2JNDBA0I9NLX
-2058449770,Quincy,VRV4MNLJP7JL6VF9
-2055092876,Lydia7,JSOC5IXBH4X
-2055069758,Olivia8,I
-2041374723,Armando40,3B16VFRYD1I
-2037563231,Evan,V8Y1LEY4NNL023QXND2
-2032496150,Norma,G58R77F7OUZ2XN
-2029645729,Jaime,O39DW2
-2028212897,Evan3,2EU5UUCPCMZ41
-2027982382,Willie920,FK7K659X2FSVE60FYC2
-2025826835,Elijah,DEP7
-2022093026,Gregory,86BYM16CDE7GV94OVR
-2013231217,Kurt9,571LGS2
-2011631687,Dion9,CR8A265TG3S3KE26TQ
-2010042280,Julian,SVZJUI0P463YIA561J2U
-2006549068,Oliver4,Q9U3
-2002442300,Marcie719,P7RZZANGO00IUI1
-2002361130,Randall7,BRU
-1999102897,Tammi60,BWIU6UQDDMU2
-1998517939,Tyson,
-1995954365,Dan73,WZKSNWADNP
-1995587589,Derick069,
-1991213179,Erik,7
-1987977161,Marcella37,3GX
-1984746521,Elena0,ON2
-1984034780,Josephine9,FB3JHBVL6GUGT3B
-1983643927,Sherman050,
-1980439342,Sherri,9IYOCAYCL8QO3
-1979822420,Shirley,0VMRZWIMOKDI
-1973264331,Laurie85,30Y8TKTZJ8
-1969192266,Timothy455,D1AFXOT4MIP9
-1943682054,Alexandra,T9X8TUMS553V6I
-1943071745,Orlando570,XVE7VGEM38TFCE3IW6W9
-1941503736,Katie9,2697MMWPJHC5HNO
-1941382823,Lillian,E25MDQWSJ
-1936802617,Albert485,DW5G8V512V5T
-1936092244,Gary57,B4PGW7EUGG
