Model_Code,Car_Manufacturer_Code,Model_Name,Other_Details
-2141535381,-1979822420,Helen48,Y6UFNVGMYRD3BO
-2133904652,-1420307459,Theodore68,P9517B
-2132289237,1086532207,Eddie772,JYMOWGB2S3TD06YR0
-2131030487,-849567241,Gabriel9,JVPALA793EJUNT5B
-2129071469,-1759343962,Jeremiah0,OX64SF5I
-2125966206,-1998517939,Kenya5,FBKQK6FVLFZ
-2116750007,-613488786,Felix4,IHSL
-2116067716,-1131661014,Courtney202,U
-2114895071,1378729012,Aimee503,SHLC2BN
-2110882323,1577719392,Marisa9,4ZUX6SVGDHUUFQ4
-2106054491,-2077452022,Ruth,II9274BXIUW
-2098409097,-11165905,Clifton9,3GCS0SQTHOVA49JZ3HK
-2087975025,1801407623,Efrain1,GMRIOT7YDB1
-2082825764,-1905097560,Zachary,DRLCDVTKNRX4D7E4MA
-2080817216,-257162328,Karen,WEGPN6J
-2079414588,-1458474304,Dwight,INQUD303PZ8N5Q
-2077630573,-551301039,Valerie,R05QTP46NW26MN
-2073260266,-1746233685,Blake3,FU153N
-2066700045,-448249398,Renee,DLT3JZ2WRWNKOBK4C
-2066235814,-1212708433,Jody,V0J8USOW92SGQQ223
-2063112021,-1943682054,Scott13,FG4JJ27DD7K
-2062623107,-790103936,Gilbert5,QPTVHRT977M9HIVATWO
-2057954175,-1267606818,Crystal,VBW9X6KXW7V9K15Q0
-2056770836,1307453952,Tanya0,IUR6
-2053318733,-2065015233,Tisha71,IWUBAMBZTN
-2052161267,-1606168758,Teresa0,JVHWENXW8
-2051863270,-445758261,Rex7,600XNG37M376WG
-2051616634,-22482027,Marjorie728,BEHS8FJF7S
-2044750466,-1537193191,Brad,2SN4W3PFCZDGH
-2044620353,354974755,Dominick4,QOEZSJX966N346AX7T
-2041660113,-1118575652,Roy531,LH4W0U0JRTH
-2039225518,1361471624,Gary9,GJ4JZOF0RL8YNEUG
-2034375250,-1364662105,Damion534,ZBGJLEEEXML
-2023945815,897131716,Ashley50,63XIQH8Q
-2023022931,-1037557269,Cathy,TND
-2022209374,-1824820681,Virgil,XVG6YPMKVKD93
-2017964599,-448249398,Diana81,YPYYJLEEQ0G6QLV
-2013396173,-1608219744,Deborah,
-2007934066,-1700431272,Allan,2NOY31WAW6FJUB9RZ
-2006759682,2011256541,Marla,2D0YM3PDI5H49U38Z
-2006152249,269635031,Patrice12,D6VEQXQDGTW54Q
-1997811081,-68676174,Edwin2,P0056J05F0TY6DG
-1994146847,1079249146,Noel03,P9CK17CC
-1989293757,-1265735378,Carmen190,T135BD
-1980406620,-1383884747,Armando25,Q9IZ
-1978815400,-1387541712,Kerry,
-1973157003,-126352255,Jamal,1F3Y74QMCA0
-1969992837,-1641303092,Craig22,AEGIJW1XIFPW6IK9SIS
-1969013178,907775931,Jake253,
-1965392599,1440538894,Chad615,QZXN
-1958418331,-939324309,Gustavo9,VGC6RX154BIR3WSND2UW
-1956944697,1083248107,Dominick82,YTZ28QMEM7R2OZF
-1949867213,576039339,Fred,6R64OZNWQVRJN4P1
-1949866676,337714866,Damion141,5XP4BS
-1937202624,-2092532604,Carmen,EL3K5610WB2RJE3MZI8
-1934777974,-1707134890,Jean600,SZTAE1YY
-1914102123,2070871858,Kirsten,41G
-1914095583,1259032701,Helen,5Z94W34E8L17
-1910416481,-258462203,Angelique068,XJZTO9RNJ
-1910087065,-1713871449,Bryan143,I9EAFDLUEAM
-1907020057,-2060407498,Chrystal87,BVZKZP6325BD53YC82D
-1899216662,1986930728,Toby17,
-1892292419,-1779761902,Mario33,MEJPWAJKJHS
