License_number,Car_Year_of_Manufacture,Model_Code,Other_Car_Details,Current_Mileage,Engine_Size,Customer_Id
00178,-412575949,1128214090,5S5AKVN0IHYZL,23,-1862923878,943
00192,376893083,1781633010,TIDRHQV71W3NKGRCT1BN,22,1408559528,515
00550,1243762834,897980354,6F58AHYDIE0,59,885818057,629
00591,-1993260684,-1222670844,AH,63,567169289,566
00640,9718199,-896113712,RFZ9N7I8SXTV1,40,928369780,873
00863,1226561695,804274859,,54,1224278746,146
00915,-49428560,1410745719,PS4GQMVEV,28,,65
01029,1584566812,167444071,UEJ0X,49,-835583621,653
01109,1000270394,-935523529,DKRCAOIWP9A,29,-1533238942,471
01122,-1427221452,1795982717,V6LJ1L0,64,-1339056865,531
01204,-1216451991,-1672805405,60W34GLF,54,-503096677,537
01210,1146637180,-740088035,CTV1K4ZBTZONPD,65,877736490,348
01550,-2042390779,-1937202624,U8VZBVHQMVWA9KG,47,914698271,213
01716,-285810112,-343964742,ED,49,-521354053,915
01927,1808259021,2142108300,H4F8B9DEIC0D6ZCJH,48,1804048405,70
01950,-652422386,857761765,MKS573WU,21,1985462964,953
01966,446810505,1223517023,ZE,43,1609189313,365
01999,127886405,-1239454682,PQLK6WNAROX3,33,-1184998441,435
02003,712785842,265832715,0CCNISI,57,-1427140756,222
02105,-1089298711,-2041660113,S8O90QGF,44,234136175,16
02160,-824500569,-1053510274,Y2Y6H6WLQ7QX2,44,-667793874,325
02217,-1576064351,1082524479,KUXEMAFCKQ55D5,34,206254865,888
02409,1870935827,-2023022931,AXJ773SHDPNQ,21,-1842222113,165
02797,1123130345,303271606,XGJFY301ZF8V21LPUSCW,34,474797118,538
02874,-1867879006,-1676672947,IDUM,47,-817095585,392
03023,2059272924,-317570616,,61,-54598421,680
03165,-754615336,-1375621876,9X25LYV7E3AP2X7S3WL,51,641940289,301
03178,683163148,1334783222,,40,1982795124,21
03200,814698560,-1149884709,0,57,830426500,767
03309,1389588870,-1108971448,DPF52658MCL,63,894259347,257
03344,-2097265630,-1956944697,4DY0SIKZM486UVVW0PB,56,796130556,458
03437,-689847482,1834652472,9XQ7E8VN10,34,1989242045,27
03595,-2090778222,894191210,6H,59,252345909,427
03637,-904019070,133951465,05FU0ZLI4J9BV,56,1685576832,300
03739,357827849,1980538195,1M5TWGZR,49,-1780761733,992
03753,1995689172,-849926387,,19,-2144807774,450
03997,392259061,1034205611,NK,28,-889257350,139
04002,772701071,-884629290,AHAOMGI6D,28,-1150869896,337
04207,-1754705116,1405286636,21MCYN5GONJI,58,-512023952,258
04215,-1777679724,1119975533,67LKMXKB7E6IIY5QUF,46,677597713,903
04232,,2086955125,8VX28N0T8L4SZDGSGD94,33,1314466629,15
04288,-1764169449,229929352,DB9OITL5FMOZEV,33,-719432632,793
04357,302586284,2114085425,832NXF8ET,37,900301265,188
04388,-1348350685,-1437136927,B,62,1728011163,398
04442,1980949767,-1491876084,V8S5UB,36,-498316424,246
04458,-1751027977,-1969013178,,20,-842989308,741
04634,-916113095,-1589912435,317G33DUA,44,443559015,426
05028,-786695266,-102928098,JLH6BFXXOQ84C93W200,35,1497389427,496
05130,827464377,-1466875015,EAVH0UM3QLD73Z706,30,36590495,506
05139,-2100125583,1266972454,UD1E,18,-292355796,292
05247,-727639530,-102928098,2S2NC44S9NQBH,18,-590733189,408
05268,1801766820,1420124680,0ITT42IJB,26,605188049,872
05556,-1967973580,-1717450094,1T,33,-912656539,526
05562,371295652,723441475,I9037HYSIIR20O,37,-1485605475,730
05601,202730162,-329987683,UK1F,61,482985434,446
05620,-1140030767,1579357466,SSERHKG97H,46,630090067,580
05645,353393586,1872145539,U9BD485Z2,27,-124879014,646
05758,661880814,1877995236,I8LIL6I90,21,-685117267,330
05791,-601029547,-383614282,S6KJTKVN5D,40,756714802,433
05824,713092870,-366358423,99URCFR34S7RF,26,-189495101,338
05923,-440322684,-1055270270,HTRCKB,52,-13787831,304
06049,441493756,-2056770836,WG8UFW46D,31,-582442293,225
06153,-285553374,734867273,UHHWZM9JGT2,38,-879225059,790
06185,615506042,-1336396831,FDU9IK98VKBXOYLXDJJR,46,-579713071,762
06219,644919260,1151922468,I2VDP1ETNZ4KI1,22,-228184941,3
06246,1262297588,-402559963,056FBFBNDDOZWRECG,56,329846763,778
06492,2001012379,-2098409097,WTPJBONQIEZO8PWVHD98,19,1114276378,590
06555,-323436796,-1447012616,XWS9DFF88QJQ,39,-1301280815,760
06842,635010126,-286101368,JSR,49,-570180709,880
06934,1322744170,-806109705,U1K9V,26,1984908646,349
07068,288815812,-379738058,AJIMUUOR9SGG,51,-166442868,757
07108,171004106,1453118353,N12MT257VUDEJK1UD,64,-387448058,331
07228,1948772254,-1505306217,VWQYXW1ZF,59,1650010267,383
07237,1326945744,-526716132,KJW4ZRO62AYPO,35,-1080269775,949
07309,1980971659,-2125966206,X5EEWSEQO604QON0PA,62,,510
07438,2090709088,-1035732740,4KU5VV2YZFNTPON8TQ2,27,252071301,772
07465,62807718,1382086614,YCZFFBL61RJG,18,164314783,284
07493,860252515,-2066235814,X4H49KLHRZ2,38,1828248251,290
07639,-1481099700,1560842435,R7QH27886EKO6FO8KL87,43,1491556177,829
07762,388445775,270363609,JFOU3BTX3TFIYS6WZ2Z,48,105406702,746
07964,1201609813,1323112398,QHBT,30,306428727,869
08012,-1492466036,723441475,JQHOX,59,100845681,827
08312,-2055135708,-1036339860,VU1BM9G,37,282466328,783
08388,-1711855475,-946192765,HG33DJXZ5,52,-1711722065,877
08530,,-421612237,65XQ4R4MPEN,18,1254465558,556
08570,1169830177,-1794812274,696QAI,61,879629435,930
08756,-225395956,225503800,EYB2G3ZSYWZ4KX3J8WQ,59,623163720,933
08871,1733334030,2090423868,LNNDJEZ8MJD9,39,1063027985,244
08903,1277122419,37621809,BFNN,28,-499416284,388
08921,-121222974,1220250368,M3ZU3VSQZ40LQB,33,-1485101667,282
08939,887897242,1272918591,R4V99HR6X7WNFD,35,707821638,989
08971,728311516,-177013714,S9P1S7A9MZZBCZQLWE6A,35,-1400676953,263
09004,-248763760,-379868606,W44HC0JHHCCA53DIITN,51,-335734811,889
09106,226910505,367913215,8KPZTXBP,51,-943356292,745
09373,1911983496,-1204246496,,24,1892909071,391
09415,-308919449,-1965392599,2DM1886842HDZ6,65,-182089415,104
09804,-1646639541,498471999,NZG9H0E,33,1987602133,60
09869,-1736850153,1420124680,18Z5R,54,,254
09873,-739876932,331310948,JC2MR2RUWFP,58,-1635921698,821
09938,-798024450,-2106054491,MM6EROD2KK,39,-650781453,928
10032,822497879,-1530060691,DHMI2EZ4U927U,46,37759044,48
10180,-2091420313,-459335300,B5MPAS,42,-1639924414,472
10233,67808912,-1424933026,,33,326323522,297
10488,1385130160,-724015366,BQ44J46639N7BWJ,42,1669063426,264
10629,-784031819,-363413294,CRTKI62V9J7XNHA,19,-268548916,196
10703,-1845518362,-513396138,FDVWW8FIB81AUCXR4H,38,-225310962,875
10882,1459550558,-1772429905,JBS29VANTDPUE73KBV,48,607464867,676
10887,-204873886,-20128278,EW4S3FGO,22,-1969576436,40
10986,-189602323,-1630380008,TYPJPGRKTWHY6F,36,1267319980,598
11215,694651725,-1225624337,1HLR00QIWJL6YU297Y94,48,1663681598,611
11440,-1588298980,-1450006531,QXWC6B3UCD,31,-1907584113,148
11528,1210047018,-61878295,JY4G7IM,19,1613104218,600
11597,-429960731,1478524412,SZ63LKKC8JK,49,343008767,979
11911,213034948,218027736,SEO36PY5GYK0HYA,20,525136847,822
12105,-755974833,-1756433643,,22,-225523903,226
12185,879712865,-152588665,IX9J1YAPR56TS1B,59,-1165951737,85
12251,1915795781,537172907,KZGATA4WPD8XUO,46,1030721378,593
12347,1484655005,1593876764,7NDLRT5B7WLZF,62,1549254128,227
12536,-1717208384,-849926387,K3,37,1184311623,390
12702,-1287433412,1321870784,4U3VD9DQSLUFDFR1LRLO,23,4469554,164
12907,400630111,-1759402698,,22,1575329047,569
13015,-189381578,1623496111,YV1BKF6,52,-1165664018,235
13026,-1280949632,-158147145,R6JHDVB,65,983460331,776
13144,-1564520453,-765468108,SM9H6,55,-1863380144,810
13182,1900957180,1108293014,XKCH6RFWR3HT,65,-1138250493,982
13279,1852377977,-1277693460,BP0JXSPN,63,535364729,299
13307,-1015334654,-1881790609,9JEA7F,31,2110585412,99
13607,1917712690,47500530,,44,-771500708,283
13815,735845592,-946192765,31614G7,25,-1535041012,706
13892,-386226424,-478637779,54L2ST9XDM32BDE3,61,-755205388,954
14089,-1654291642,-359698639,,58,1819062374,340
14263,-1512752898,-1530060691,1JVG1L69L2N2RFZ9G5B,44,-1104365855,516
14282,-834508591,-731027514,0EOI9FCN8ZPWR,55,853206551,832
14453,-1104898572,-1858585466,40UVI9O1D2DTD4,64,1093148958,478
14530,1340888550,-1349805648,D3W0SXRPVL8K,41,-756594639,296
14542,1294861586,1617579371,AVBK,24,-1646727088,198
14715,501567024,-1121487091,GSNYSXORZYERQ6,42,1140381867,397
14799,-427138970,-1876909526,,62,-1160845536,815
14823,1502738797,454233008,KNF8X1XGSCWRBQISQOV,26,580566930,221
14837,178980813,167444071,BHB,55,922046598,274
14894,1298888248,1554731974,O5,61,-1424494154,280
15104,-1718799881,-243661855,41S1BBPIEY3TAUU4,51,-778375716,178
15121,-52986741,-193882642,2VQT41WVUJO7GYSZH,18,-806323986,517
15290,-921318000,2424028,O8VIXSD,65,1182249700,529
15358,1743588406,-327671347,G,,-1593106945,846
15376,-966953477,-1717032397,UAHYG3NBRXCOX,20,-1879142784,564
15390,-364467278,-383067499,UA7KUD5W9U,41,176482733,918
15512,16891197,1402960439,OU0B1QR63B1DF1AZ9,33,1190098490,892
15622,-1678455574,1986035977,M219WMXRLDN6CQI4,38,998043301,514
15634,-1679083941,-1512902309,7UVO1O,49,18319942,465
15661,-1137233511,1357406919,L6RZE,25,367568176,881
15805,279091613,421112892,8RBEP17O8,20,682008014,898
15868,-967816206,95243209,T2NUYFD,,-1529030054,26
15981,1569938489,682524330,MZHYKJ,19,784508982,807
16052,-1567209937,428872924,UU4JNSF9488P1OX1YXO,48,-620648921,769
16124,1060628502,117296634,85QYP4,19,378939909,327
16144,-682557771,-1014287281,R48Y4AW,55,-254375123,572
16151,-2044287330,-1077830740,JS21,36,-574795119,291
16209,-83091075,380805060,ZJ,58,-1467069565,361
16257,-205213495,28372009,OY7LB0H5JNRRJ,23,-1342707347,806
16259,1610647303,1581635498,ELT61HE5FY,50,-328041218,273
16277,-1282379689,-1788936445,OVG0U40ITMATD1ZH391T,61,-426276870,666
16304,-1505065445,-1637282070,J0XSMY78B2LMJ5SUZ,33,-1034413713,816
16394,949550841,-467813959,HQFG85MAH0VUHC,29,1054398690,732
16644,-872966180,-1102314698,OB0M5I,21,-2112957023,240
16689,-1871690656,-385958471,3KZRWV,46,1462108421,825
16765,-1532927619,-1934777974,43BYJVDIGGMASK6K,46,700359137,448
16932,1551818810,-212002037,3,43,30718347,179
17060,1784382103,-2087975025,RKPI3WWJ4H,34,219355284,565
17062,-1779462923,-1318236720,PLQGPSA3T0RAF7JUKY7H,59,311446375,839
17125,-217909498,-1978815400,QL71JSUY,29,-1347110423,412
17149,-245300015,-1715703635,F,48,-848043349,251
17287,-656665237,1192420817,UHUKP4L5K1R6XAU,49,459671803,394
17335,-1107283437,-1195178995,TQLQNB3DPIXR,65,-291869807,682
17337,-1907573082,-1146149095,XH289D,20,-1217938526,966
17576,-23658681,-61264489,QSLAH2PJHYE6DS,27,-906088451,799
17878,-393578205,1950043863,S,54,-1692564648,39
17926,1122251575,1209374609,1GCTRDZTK,21,-918565694,499
18131,-1152812441,1435654714,OJDKS5FRM7443P0GQS,50,1299302170,334
18206,-1223238551,1072908810,H5069V4APD,46,937068109,396
18438,-472523654,1007170918,RWEMVE23QTB,20,-1746478118,845
18565,-43306430,-1409307150,NVRCCUEG9GU,27,-423850740,400
18683,-592221774,-158147145,IJNXKHQM,45,2062963490,428
18732,-696234953,-1720336663,8DX656BCUMDC,38,-954583804,640
18805,1869084417,-1490377160,UUNA85LATHBLRIGIO5,52,356893957,800
18842,1450733214,1212723717,PJGK,48,1790217219,532
19001,-1275301693,-193882642,AEARPIO3Y9VJJ0P,38,458457425,420
19020,2115261451,1072908810,28L1V73ATRX4WZ87IPA,40,-1426898634,978
19165,103639406,-1079744616,5R7X8TFQOMFSM,34,-1472147298,947
19214,-641669945,1626289516,6R,41,2103135028,907
19313,223533376,659917124,0KHGU6J5TDG7AFLJI7KL,18,-1892401904,223
19389,1028494444,1616628347,2QHHYB8MC34JQT,40,2115423927,494
19580,810856185,699633340,JSSWMS,21,25784982,93
19647,226990053,-1192786967,GLAIV6YQVCMV,22,713990191,563
19874,577845769,-821566992,E3C5HKT28NUO,64,-1005166403,675
19892,991521225,-329987683,HJ9FGPEEUWD,58,114371195,837
20037,-473362380,19043848,7ADQN18ZM,,-472006048,162
20068,1717143123,-111657768,6ROB0JHSZNWR5P4B,38,-1036039874,576
20111,-696831156,-1652684702,Y2I,20,569081247,315
20173,1657821748,-432851555,Z2A1RK0TP,50,-659272334,140
20222,-1410082481,-2116067716,3C4OC0R,36,701136696,963
20268,1011554585,-2141535381,,21,109635196,835
20331,-2028135715,-1512902309,5C0DFP4N,37,1188417863,110
20365,1894029706,-595827216,HKYY,29,-152042772,863
20482,34856597,-863851998,ZOLYXQL0JW2,41,-1855100384,366
20921,4336189,-1108971448,04DC5G4RP0,37,1233288477,379
21113,1910521368,-731027514,5IGM,57,693230753,997
21181,1700338957,1797581765,O8P8RPGAY5FFYJ,52,1477254740,103
21242,1997895941,-152904465,MVETZ1MA,27,1367815370,333
21373,-558617442,186682987,DD2DZD1V9A87QSUKVJJ,19,301480517,901
21653,-423858349,-1365202792,MSBDC,21,1432421844,668
21806,-513074300,-2057954175,9BUAZSQ,22,1955364465,209
21820,-347118371,-1610317453,X29ECGMC0KFHF9QSIOS,60,1762953430,275
21878,382148568,-1493947004,SF9AYV4JKCXL,53,284108888,321
22126,1446737238,-67197872,7,22,-1190918780,753
22229,-1778200674,171525431,WIK2,20,-359917108,905
22356,1617188447,759842963,1SKL,55,1667368166,108
22360,-445241167,949648978,R,39,2002880070,542
22398,-679344444,1984120450,5GWNFGZLKFRMKZ1Z,53,-2115063056,444
22501,1876381145,1625266953,M6B09T1RRA59PQQGF,50,-822695644,936
22652,382477309,2061163998,YV,58,1845850578,9
22733,-1639225001,-1461950602,NHB23VCAWPMV1R8,44,-936126629,278
23039,750082161,1492642532,HPU,34,1502608244,866
23060,1970692122,-1682354033,AHU1Z,22,-1570731067,850
23098,604456656,1268001867,4LQ0RI8JXKZ8EQ,59,-207280869,847
23119,1685885888,940425800,J2ZZTV3XY,61,-409028993,489
23209,1715230230,-1204246496,CKB,25,1669958242,968
23212,1076530103,-686369778,8GAS9Y,64,-1883573427,744
23498,20851479,1226016916,4ZQM51VMHZ,37,-1855707940,473
23575,-1382690133,830061905,JW33ZWTITHZ69T,42,351186235,727
23578,1503570864,-1400702332,Q2NHQ854K6372P9N,62,-830592021,492
23660,-2138126570,2111550418,ARJO1G8HAQ8,44,-1159875819,456
23786,-494043510,-2056770836,DRPF8KHCMDSCYHODFI,55,-1993415143,897
23911,1465869380,1562589231,H3U69PX0R2QCFFSS,60,-840722871,642
24342,384440339,634940934,64O9AGSPLL,43,-753107480,725
24526,-1365181583,1221892991,WY9JBYRNX4E1,61,1729948884,623
24644,-763605330,591449613,8ER0DJQIW3AGGOBPSZJ1,31,-1604626707,310
24682,-291338200,-698911170,6GCT5I,57,1420152152,38
24683,835536638,-196792468,V,53,-1373514644,32
24862,35587344,-1868203927,A8XBABE,47,121042975,175
25023,1607535990,-902338091,8L179CIH4K506IO,44,1539204616,595
25046,1172782538,-2098409097,CMKF,50,984456138,609
25089,-2146611140,-1889997057,JVDQX,29,1449147509,154
25170,-575356804,-1829290904,PMSUQXXH962II9JOG,19,-143022411,794
25450,234886165,-987432509,K33TUTO6YT7XV,48,-1728407157,486
25457,-1512820782,-1029783268,ME7T,63,2139684398,798
25596,-1918175629,-152904465,,40,-2075191351,701
25777,1447180738,580639284,20MHMA9KPUSRBU7B,36,-1441139696,784
25795,-327754265,-1835908375,4MV08,42,-97388954,402
25830,-1859639591,1971808358,RHE58XD6Z,63,5953132,245
25958,-1106287091,1149455013,YNWA2DUTJYBJJUHV1,20,317010078,969
26169,-1644354182,-87615599,SJ5YKRFZ5IHJWW4VY,34,35319311,236
26416,-1016120754,804274859,2XH1XOWWV9VTKNN3FCA4,18,-308127750,951
26444,213937824,-1637282070,U3YQQVEJYNV1QI7Y4IG,53,-1346495800,715
26474,-650173585,1716540997,QNI2UIG33C,44,768193752,351
26480,2087724013,-1610317453,NDDR,24,546156557,368
26714,723214749,1630239521,E61J4WTUWDC16QRSGVG,23,27355229,899
26794,34086892,-693619913,,53,2080496308,519
26839,-262264921,-1864151430,BYWDY,30,-1662830535,482
26841,-744347498,-1479601992,9K3CHS8O71OZKVF7,25,508530534,577
26910,680048943,-237803011,CRS2IRGJEW9ZPU8Z6,33,-1556573663,671
26963,532573736,-961077078,E9Y301YY7SRDJU,49,1684763835,317
26996,-1097598084,-237803011,7U2WCATC3CO54COT,50,-510980019,260
27118,617479433,-1745910727,FT8OUFEHQ9Y,31,971097403,253
27171,-238752294,-2116750007,FZ0V8R5,62,1682495179,528
27262,396623983,1564836256,00Q74CFZ,40,586927856,535
27408,-625184260,-485361933,NUBN2IDD6M9U,55,595747367,467
27616,-587887644,1230170932,4AWQMZ1NA0HLZPDG6,45,62190143,716
27860,1264652441,-1775246110,JAFZJZB7H0JOS9,26,1730942470,817
27930,1922042450,17952026,Y4Z,38,-297850437,571
28022,-857886750,918883865,SBZP4GD6,24,656918799,937
28174,1724218877,-1218641827,XW,47,-644568256,49
28313,1410546255,-827548648,P5TQSZQUHTG3XCLRJP,41,540656870,449
28433,1645658963,37592510,RZOQ4N9EMWYPRGKK,62,-1577948819,159
28447,-107503287,-1883952973,FALGOKBF2I0,27,1804382250,106
28452,-248260101,968425560,X69WG3NXY70YWQNR6,18,-895036213,474
28797,96728174,-672806568,E0I,29,766749161,861
28848,1246413280,450513076,2ALYOOIFEMG6STP28GAY,50,-1053978630,242
28877,-1225358868,269344453,ENEIA7TE06FLGM8GP,56,105454610,860
28919,-587206017,691482193,UCZYJ87YZ,57,1597949876,298
29050,-384313328,-1108168160,CY,64,-491196207,218
29209,254100138,577923223,1DWZRLI0MPU1UT7W,59,1321581097,237
29245,-1186134919,-1632362107,Q2,18,-1158868987,691
29291,-349844066,1384214614,,34,-769837567,145
29402,-1026988997,-1023113265,FF,51,2025776797,604
29451,-2106955852,-486308181,A7FPBHFK5Y8YIN2MB,41,655887103,813
29459,-1917183980,-733419576,LJG00EJNF12TWM6WAC,59,-1050877325,46
29556,-578329331,-1056043485,RSC0IVSCYSCDLJ4LWO,18,-1524837729,990
29652,520854176,-1847738294,2BBT41HMRJHFUQOK,54,-1315472868,870
29723,-679255084,2100021267,2F5EL7F7YZ08,53,-664483262,272
29734,-1601352098,385364086,DDV3RZKR,18,1393018950,841
29875,-779238971,-2079414588,VRIJIVZRS,51,1160172080,37
29956,-21841230,-2066700045,53NAXHLOPJNNZT1DCAWY,20,-865167741,116
30012,571399035,2140780450,CQGWSJ8XMBYZH,46,449193309,152
30018,-491819883,-1146149095,IHB8G146G,52,554370130,437
30161,-658783079,-1292304997,4DQZAU7V,19,-1776363472,459
